BCU_name,urban_withdrawal,rural_withdrawal,manufacturing_withdrawal
AFG_1,2.144332214547179,34.10380689926592,0
IND_10,363.43065788013206,783.7007657028524,0
IND_13,0.0,0.9822726694342044,0
IND_14,0.0,5.233062165405852,0
PAK_16,1405.6420194726331,55.64009022931134,0
PAK_17,108.70851174374619,314.54196247328514,0
AFG_2,242.28164335143114,115.48574034782463,0
PAK_20,302.14325590563544,225.47407197921464,0
PAK_21,240.13957234474623,302.4058744410638,0
PAK_22,617.1181142796539,358.10790042934457,0
PAK_23,78.8170627822202,84.40477601930081,0
PAK_24,21.16054757014312,258.70265897118435,0
PAK_25,13.198127311829635,364.2102718725616,0
PAK_26,269.4514699314645,626.0516389146228,0
PAK_27,366.40337094160697,195.8983630246258,0
PAK_28,67.16829237025154,245.68865424035255,0
PAK_29,0.0,9.330871988903048,0
PAK_30,0.0,7.663211421445868,0
CHN_4,0.0,0.732571617908878,0
CHN_5,0.0,0.7256312979686581,0
CHN_6,0.0,0.4133627036718239,0
IND_7,152.32640680606622,157.29268660306158,0
IND_8,86.66719363772609,235.04327996734918,0
IND_9,74.90783835855937,104.61250027812254,0
