BCU_name,urban_withdrawal,rural_withdrawal,manufacturing_withdrawal
AFG_1,0.2255262554424374,23.37917177930722,0
IND_10,279.68105283541513,658.1732675740159,0
IND_13,0.0,0.8788327264582286,0
IND_14,0.0,4.615275074712652,0
PAK_16,949.4914806539487,165.80457314631857,0
PAK_17,75.51534808094999,255.02225542301002,0
AFG_2,153.6986600215636,91.14123505655407,0
PAK_20,229.1793164253386,178.1942764872754,0
PAK_21,148.2693331654183,264.1515936948543,0
PAK_22,326.42057732744115,402.2861538262952,0
PAK_23,55.89801349424257,70.63826025241596,0
PAK_24,16.854874328428068,198.5649974633861,0
PAK_25,10.507268024688077,279.84357967787884,0
PAK_26,193.061663293723,497.8664211609366,0
PAK_27,284.9696019490853,161.76640758482725,0
PAK_28,46.015662750542454,212.29693497871997,0
PAK_29,0.0,8.231938423867438,0
PAK_30,0.0,6.619945675850148,0
CHN_4,0.0,0.7195263410015652,0
CHN_5,0.0,0.6851017714758395,0
CHN_6,0.0,0.4453930156504868,0
IND_7,103.50704780925744,146.40655823624382,0
IND_8,66.4186617193082,202.1251008302414,0
IND_9,56.04590323562665,92.90790564772648,0
