,1|AFGHAN_SOUTH,10|INDIA_WEST,13|PAKISTAN,14|PAKISTAN,16|PAKISTAN,17|PAKISTAN,2|AFGHAN_NORTH,20|PAKISTAN,21|PAKISTAN,22|PAKISTAN,23|PAKISTAN,24|PAKISTAN,4|CHINA,5|CHINA,6|INDIA_WEST,7|INDIA_WEST,8|INDIA_WEST,9|INDIA_EAST
2010,0.1716702638137734,201.05376244186417,0.0,0.0,633.8515699351203,44.295147464337504,84.58440262504355,124.26023727515944,112.03318116233888,189.6071354390672,23.75871273942389,13.809090889163183,0.0,0.0,0.0,77.34443676818344,47.69187540837596,24.49255408177413
2020,0.2255262554424374,279.6810528354152,0.0,0.0,949.4914806539488,75.51534808094999,153.6986600215636,229.1793164253386,148.2693331654183,326.42057732744115,55.89801349424257,16.854874328428068,0.0,0.0,0.0,103.50704780925744,66.4186617193082,56.04590323562665
2030,2.144332214547179,363.43065788013206,0.0,0.0,1405.6420194726331,108.7085117437462,242.28164335143117,302.14325590563544,240.13957234474623,617.1181142796539,78.8170627822202,21.16054757014312,0.0,0.0,0.0,152.32640680606622,86.66719363772609,74.90783835855937
2040,10.98163996010582,483.7341627857589,0.0,0.0,1771.5540772807462,246.38065556437624,372.73366583081577,461.6241251024074,309.1744485760541,984.6011754221602,98.15485617891466,26.08258157700704,0.0,0.0,0.0,202.39922136034457,131.31627837160684,91.23610379268295
2050,20.93008083879851,600.3016601709422,0.0,0.0,2156.8132980120404,356.286320681125,536.6335475824931,653.5708918675881,386.77386582981393,1370.7522510634965,146.533462678386,97.10978118864406,0.0,0.0,0.0,234.97037947901995,173.2761818881656,101.98594192346584
2060,46.96224736096512,793.91316298534,0.0,0.0,2474.792908105524,445.77323087232304,716.1247286542774,898.1888817772144,712.7507214562062,1587.813302001824,177.51761420139584,120.50465121798368,0.0,0.0,0.0,295.2366423205094,203.88217057436145,108.9082503240414
2070,72.78825427299127,1010.4555032214422,0.0,0.0,2711.535825481856,624.3783227128444,943.3943480953644,1026.4669164742318,826.5634011138884,1764.264998392112,209.97888606244317,169.3515667736927,0.0,0.0,0.0,316.767951650542,223.43953444913757,115.17969738556891
