,1|AFGHAN_SOUTH,10|INDIA_WEST,13|PAKISTAN,14|PAKISTAN,16|PAKISTAN,17|PAKISTAN,2|AFGHAN_NORTH,20|PAKISTAN,21|PAKISTAN,22|PAKISTAN,23|PAKISTAN,24|PAKISTAN,4|CHINA,5|CHINA,6|INDIA_WEST,7|INDIA_WEST,8|INDIA_WEST,9|INDIA_EAST
2010,0.354464279736407,97.75568039962056,0.0,0.0,166.48177556002403,11.634168090997862,174.64964545241975,32.63708295277392,29.425602339091373,49.91198637884069,6.240187962558464,3.6269571676541386,0.0,0.0,0.0,37.60641455276501,23.18896050996823,11.9088810101767
2020,0.3786552167613474,225.64236438317795,0.0,0.0,219.5074782695016,17.45797382681417,258.0578083568358,52.982691375135154,34.27748791248554,75.82802073504453,12.922485660794708,3.896548265634884,0.0,0.0,0.0,83.51534503539881,53.6045290462222,45.23298377513891
2030,3.2487502028658244,327.3103111950024,0.0,0.0,325.2081782035251,25.15101942541554,367.06664722566165,69.90449344571883,55.55878044308658,143.27864139892114,18.23358319708994,4.895559640524367,0.0,0.0,0.0,137.33609696349646,78.24544063697932,67.62878285905096
2040,16.171456820469423,585.9571669270712,0.0,0.0,439.2495322943105,61.1040824579794,548.8844755459718,114.48583764679024,76.67311320788798,244.86894941418836,24.32833157907641,6.467168584956309,0.0,0.0,0.0,246.712659978523,162.48899688086652,112.8943278657302
2050,32.21387793382384,721.1087133528584,0.0,0.0,596.3651539035211,98.65110597401426,825.9491630862885,180.97972021364575,107.0258303660314,379.2894982557339,40.45307914141869,26.85811822737943,0.0,0.0,0.0,286.48883134220426,222.58933307354795,131.01040517082333
2060,79.16533292943052,956.655453442264,0.0,0.0,820.4920622679136,147.96733109220563,1207.2904088580467,298.26423009491583,235.6765648178921,524.9491799410349,58.021899623792685,39.76546244679606,0.0,0.0,0.0,361.01909198992144,261.3651989263322,139.61410372703463
2070,135.01467630008247,1289.8190962690592,0.0,0.0,1282.086035962502,295.3808638276628,1751.2548686352495,486.3153565611199,384.8590134628304,822.435443703894,92.1445990268158,77.73695184188327,0.0,0.0,0.0,408.87909249007134,299.123571261087,154.19367259103078
