,1|AFGHAN_SOUTH,10|INDIA_WEST,13|PAKISTAN,14|PAKISTAN,16|PAKISTAN,17|PAKISTAN,2|AFGHAN_NORTH,20|PAKISTAN,21|PAKISTAN,22|PAKISTAN,23|PAKISTAN,24|PAKISTAN,4|CHINA,5|CHINA,6|INDIA_WEST,7|INDIA_WEST,8|INDIA_WEST,9|INDIA_EAST
2010,0.3119282929760871,83.09232914746013,0.0,0.0,141.5095092260204,9.889042877348183,153.69155339252845,27.741520509857832,25.01176198822767,42.42518842401924,5.304159768174694,3.0829135925060176,0.0,0.0,0.0,31.96545268060263,19.71061662508989,10.122548957056626
2020,0.3354382911731982,188.18188783546228,0.0,0.0,188.19114051566413,14.967307863320537,228.60498529371856,45.423842486288,29.387242726840665,64.99794828856413,11.07888138469932,3.3406418221608534,0.0,0.0,0.0,69.65037498589079,44.70526401380414,37.72353787598878
2030,2.896087672306849,273.603852433601,0.0,0.0,281.080123745441,21.73823454093923,327.22035415572725,60.41903305330849,48.01991440791906,123.81728991608536,15.759437077112471,4.231272771684744,0.0,0.0,0.0,114.80140992264876,65.40659814682017,56.53196643294245
2040,14.501825024645422,543.298710752407,0.0,0.0,382.56115053295866,53.21815134392156,492.2145673998031,99.7105985318152,66.77788420295911,213.3281124645821,21.18858151271237,5.63253292867203,0.0,0.0,0.0,228.75165226763252,150.65958315655195,104.6754715918418
2050,29.0505242003905,577.9662755196975,0.0,0.0,523.1627507336941,86.54191752564392,744.8422136515607,158.76489032641024,93.888664432109,332.63807744026707,35.48755996346532,23.56134814281883,0.0,0.0,0.0,229.61986142000933,178.40462252739465,105.00441130275956
2060,71.77150239817047,893.032206433806,0.0,0.0,724.7019672913711,130.69256957949798,1094.532711078018,263.4427366974963,208.1620018308347,463.72982958828175,51.24800925815049,35.12295875939178,0.0,0.0,0.0,337.00918666633225,243.9828670210781,130.32893990412677
2070,123.02117024275417,1190.256701937751,0.0,0.0,1139.7242301240294,262.5820094566571,1595.688922395302,432.3152891514109,342.12457707327127,731.1618711226726,81.91293660497882,69.10510301570001,0.0,0.0,0.0,377.31731645645607,276.03393098375534,142.29131257922143
