,1|AFGHAN_SOUTH,10|INDIA_WEST,13|PAKISTAN,14|PAKISTAN,16|PAKISTAN,17|PAKISTAN,2|AFGHAN_NORTH,20|PAKISTAN,21|PAKISTAN,22|PAKISTAN,23|PAKISTAN,24|PAKISTAN,4|CHINA,5|CHINA,6|INDIA_WEST,7|INDIA_WEST,8|INDIA_WEST,9|INDIA_EAST
2010,0.853,0.853,0.853,0.853,0.853,0.853,0.853,0.853,0.853,0.853,0.853,0.853,0.916,0.916,0.853,0.853,0.853,0.853
2020,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.9644999999999999,0.9644999999999999,0.894,0.894,0.894,0.894
2030,0.895,0.895,0.895,0.895,0.895,0.895,0.895,0.895,0.895,0.895,0.895,0.895,0.9764999999999999,0.9764999999999999,0.895,0.895,0.895,0.895
2040,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.985,0.985,0.931,0.931,0.931,0.931
2050,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.9904999999999999,0.9904999999999999,0.963,0.963,0.963,0.963
2060,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.9944999999999999,0.9944999999999999,0.978,0.978,0.978,0.978
2070,0.9855,0.9855,0.9855,0.9855,0.9855,0.9855,0.9855,0.9855,0.9855,0.9855,0.9855,0.9855,0.9964999999999999,0.9964999999999999,0.9855,0.9855,0.9855,0.9855
