model,scenario,region,variable,unit,year,value
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,out|secondary|electr|hydro_hc|M1,MCM/yr,2050,7.301585774380247
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,out|secondary|electr|hydro_lc|M1,MCM/yr,2050,4.021864243929845
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,total om cost|hydro_hc,MUSD/yr,2050,994.3769779177168
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,total om cost|hydro_lc,MUSD/yr,2050,445.30217243172393
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,CAP_NEW|new capacity|hydro_hc,MCM/yr,2055,0.4033528295822921
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,CAP_NEW|new capacity|hydro_lc,MCM/yr,2055,0.06090957652015244
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,inv cost|hydro_hc,MUSD/yr,2055,1322.2833465215576
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,inv cost|hydro_lc,MUSD/yr,2055,133.11483400596714
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,out|secondary|electr|hydro_hc|M1,MCM/yr,2055,7.301585774380248
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,out|secondary|electr|hydro_lc|M1,MCM/yr,2055,4.1656108445174045
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,total om cost|hydro_hc,MUSD/yr,2055,1001.6476247693242
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,total om cost|hydro_lc,MUSD/yr,2055,464.3067511230099
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,CAP_NEW|new capacity|hydro_hc,MCM/yr,2060,0.009414355462242138
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,CAP_NEW|new capacity|hydro_lc,MCM/yr,2060,0.15156251744662572
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,inv cost|hydro_hc,MUSD/yr,2060,31.08497787011345
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,inv cost|hydro_lc,MUSD/yr,2060,333.73914779229534
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,out|secondary|electr|hydro_hc|M1,MCM/yr,2060,7.301585774380248
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,out|secondary|electr|hydro_lc|M1,MCM/yr,2060,4.523298385691441
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,total om cost|hydro_hc,MUSD/yr,2060,1009.0729662347958
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,total om cost|hydro_lc,MUSD/yr,2060,507.62524468236364
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,CAP_NEW|new capacity|hydro_hc,MCM/yr,2070,0.1658215916608425
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,inv cost|hydro_hc,MUSD/yr,2070,546.6507755009666
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,out|secondary|electr|hydro_hc|M1,MCM/yr,2070,7.301585774380249
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,out|secondary|electr|hydro_lc|M1,MCM/yr,2070,4.523298385691441
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,total om cost|hydro_hc,MUSD/yr,2070,1007.371325482292
MESSAGEix-Pakistan 1,LTS_nexus_debug,R12_PAK,total om cost|hydro_lc,MUSD/yr,2070,506.8585839390262
