model,scenario,region,variable,unit,year,value
MESSAGEix-Pakistan 1,LTS_nexus,B17|PAKISTAN,Water Extraction,MCM/yr,2030,81.04204945680839
MESSAGEix-Pakistan 1,LTS_nexus,B17|PAKISTAN,Water Extraction,MCM/yr,2035,161.16850551333962
MESSAGEix-Pakistan 1,LTS_nexus,B17|PAKISTAN,Water Extraction,MCM/yr,2040,239.6198302325682
MESSAGEix-Pakistan 1,LTS_nexus,B17|PAKISTAN,Water Extraction,MCM/yr,2045,300.6453999965204
MESSAGEix-Pakistan 1,LTS_nexus,B17|PAKISTAN,Water Extraction,MCM/yr,2050,359.9367958798669
MESSAGEix-Pakistan 1,LTS_nexus,B17|PAKISTAN,Water Extraction,MCM/yr,2055,414.44377337449293
MESSAGEix-Pakistan 1,LTS_nexus,B17|PAKISTAN,Water Extraction,MCM/yr,2060,467.5512751841552
MESSAGEix-Pakistan 1,LTS_nexus,B17|PAKISTAN,Water Extraction,MCM/yr,2070,786.4678509264879
MESSAGEix-Pakistan 1,LTS_nexus,B1|AFGHAN_SOUTH,Water Extraction,MCM/yr,2030,2.261272445801959e-05
MESSAGEix-Pakistan 1,LTS_nexus,B1|AFGHAN_SOUTH,Water Extraction,MCM/yr,2035,2.7744469279023305e-05
MESSAGEix-Pakistan 1,LTS_nexus,B1|AFGHAN_SOUTH,Water Extraction,MCM/yr,2040,3.734807784349278e-05
MESSAGEix-Pakistan 1,LTS_nexus,B1|AFGHAN_SOUTH,Water Extraction,MCM/yr,2045,4.5243276792089595e-05
MESSAGEix-Pakistan 1,LTS_nexus,B1|AFGHAN_SOUTH,Water Extraction,MCM/yr,2050,1.972730359439386
MESSAGEix-Pakistan 1,LTS_nexus,B1|AFGHAN_SOUTH,Water Extraction,MCM/yr,2055,39.47885328135907
MESSAGEix-Pakistan 1,LTS_nexus,B1|AFGHAN_SOUTH,Water Extraction,MCM/yr,2060,76.56117688428817
