node,2025s,2050s,2070s
afghanistan,41.0,40.18000000000001,38.95
china,40.900611381094215,40.08259915347233,38.855580812039506
india,40.910302102474915,40.092096060425426,38.864786997351175
pakistan,40.969587945929106,40.15019618701052,38.921108548632645
