,2015-12-31,2020-12-31,2025-12-31,2030-12-31,2035-12-31,2040-12-31,2045-12-31,2050-12-31,2055-12-31,2060-12-31,2065-12-31,2070-12-31,2075-12-31,2080-12-31,2085-12-31,2090-12-31,2095-12-31,2100-12-31
0,0.012117647906901145,0.06769561955024148,0.09495631009678766,0.0915021463215689,0.08705812321333423,0.06457074661934468,0.08527058771823733,0.06545503590029939,0.09668804942131587,0.10576541777803015,0.044883104547911584,0.07198105979753507,0.08528267506735093,0.04860001313360404,0.08402257546208174,0.072734876901377,0.061765848383714905,0.054905362928363774
1,0.09757009684108199,0.15069714909283602,0.14875259154234177,0.18104556949130104,0.17141125338301458,0.12775115489853,0.17089517964918916,0.16203045829882226,0.18694484682132803,0.18113541142890846,0.09729312379099435,0.1061038569505326,0.15389842041900073,0.13650614026561375,0.17732899703737354,0.15677878975107643,0.15264951815890757,0.14983424731157716
2,0.23669504703332966,0.2542718117166078,0.33660853310379507,0.33245356843791285,0.356775010428275,0.31066537845456826,0.3364131910808112,0.30020882983629893,0.3822135271926721,0.35753949722647665,0.29529508784910047,0.3807969484888017,0.258372217670704,0.2982614178049067,0.328226741998146,0.29032574239869907,0.3975356461356084,0.32215066210801413
3,0.009883835112365581,0.015851500366576746,0.015167212887948447,0.013207412339252175,0.013416166403532149,0.016716145196643373,0.014608550259683382,0.01380803490375788,0.015941454942959045,0.0182232188374813,0.013328299104236057,0.02650311857120444,0.013012585045226534,0.017530084321430568,0.02122829126069942,0.01598652125367273,0.02235243871482089,0.016316590978919212
4,0.031623594136908656,0.043426706493652684,0.05906044262017535,0.056744685229011015,0.06261856612350673,0.045119418545141045,0.05576784262515623,0.04763187320344149,0.06861979676845177,0.06855006406983982,0.0574156467722108,0.07172656223643574,0.048921548844625545,0.05395427145808936,0.06396414510533213,0.06042303846652309,0.08917698241397742,0.060807585190981624
5,0.7322222416599588,0.7397808455908673,0.8448995424900206,0.8163622531269988,0.7843758195961513,0.7359173765474311,0.7771106318893529,0.7985817856987321,1.049366516252359,0.9602955785393713,0.80248560560743,0.9276262795229753,0.7658795599341393,0.9099196078876652,0.8126915701528392,0.7302312682569025,0.8967084347009661,0.7554549422860147
6,0.15972383034725993,0.3020794736859776,0.28971891989066106,0.29671462605164084,0.2604812779674928,0.312457710996891,0.32483129884931267,0.27990278822307796,0.36107585350299876,0.48323395958791177,0.23299851894378668,0.31162509228040775,0.43039387302597354,0.2706895512205859,0.2764158253520728,0.2645488587071497,0.32560818179200085,0.2729785576475164
7,0.29549874762694034,0.441428421010108,0.5013731761792443,0.47055998348817235,0.44733179204786805,0.4686392363131358,0.46211840611680716,0.4539024050558608,0.6509135634253423,0.6686154300272464,0.42184603051096214,0.5387689771205187,0.47426446743557854,0.49184073170771214,0.454788830516239,0.3982783357203007,0.5516052620460591,0.4148808329701424
8,0.5232059610386689,0.5330434975369522,0.6314488406321035,0.6001204901436965,0.5615061893646296,0.5643561955622086,0.5498910077294955,0.6133829839030902,0.7763162314792474,0.7069526720543703,0.5532266185681026,0.684740187436342,0.5598735413153968,0.6429718016882738,0.5693218278785543,0.5619077996412914,0.6886728768646717,0.565899907777707
9,0.03786914721131322,0.06103521209564253,0.05803742201019971,0.04437998681837538,0.047256446185031865,0.07584697364617024,0.06145909148105419,0.05941712381225082,0.06586975659430029,0.07178425987282147,0.03727150757300358,0.10879001636741062,0.05564733646359916,0.06529030679135274,0.07407902736154696,0.04914185525259624,0.0732703014283131,0.061801994591020024
10,0.11487895268946892,0.21326121287963662,0.21373547884387276,0.17945909335091717,0.1772788901541111,0.24325750530906956,0.21557170551128604,0.19880606527750685,0.2339838306320209,0.26935936479022105,0.16134580473477642,0.2738133509705464,0.2012066451665014,0.19544426907102266,0.21942838376263768,0.17103411225353676,0.25435941909998655,0.1935170229052504
11,0.1738835436602434,0.13484780324002107,0.21971224071007847,0.21014171279842658,0.19831766979722312,0.18647761464429397,0.18864705028897152,0.1999396960958838,0.3223704894135395,0.2520572783872485,0.17606838449587425,0.2084386577680707,0.19587104969720046,0.19832074553767834,0.20371260570238023,0.17553902716686326,0.21742975761493047,0.15994703939805427
12,0.19598317891359343,0.22938691147835924,0.2747288726615952,0.27772137799641744,0.2606944055060933,0.25379741957814744,0.28538065328402445,0.25047166344150906,0.37503895232329754,0.38597170274953047,0.26544750444094345,0.296648820951581,0.3130002825657527,0.25874822895228855,0.24397650523607928,0.2427866855338216,0.2841848122825225,0.20545535070697477
13,0.16727188850442573,0.13089732647640626,0.2162033170654904,0.22383660343460118,0.20397002522018742,0.1801674141295565,0.21227067297825128,0.2003237042265634,0.3422292424105108,0.2783748504407704,0.1879780139500896,0.21137783512224753,0.20128994538635017,0.1915277313664556,0.17995209439968074,0.17377779613249006,0.21947379019608101,0.14193981744969889
14,0.04109032855679591,0.040552076626627256,0.045270847205688684,0.04494102478787923,0.0411186645100582,0.042605629776924614,0.037157204788275215,0.04626057756816348,0.0743369913895925,0.06320267226081346,0.04088489361479879,0.0598488231965651,0.07281528381444516,0.03506912531207005,0.05933162266761062,0.037626758567368,0.048740058175288134,0.03514163456857204
15,0.042571594379842294,0.04187553271389334,0.06524012696269588,0.05123720482061618,0.054620552968602465,0.05956846243356508,0.04190732204607535,0.053945775672793385,0.10230262107836698,0.06809057416953147,0.04635971150485179,0.05902032139028114,0.091699885668233,0.05685198735880354,0.08582368988295394,0.044841931202759366,0.048379085560639724,0.050235160589839
16,0.005752173884926985,0.02789143347792561,0.06477633697066147,0.09087195570867806,0.01604808485068497,0.04279966526843298,0.018560539708467938,0.047724223329530434,0.10464207540700834,0.03672763338172808,0.023088044656751072,0.019439619542409973,0.08298951038920016,0.01873010843868057,0.1530126041495241,0.043779074284403266,0.07027491754665972,0.007485198824200779
17,0.015192811555850004,0.040372163145439094,0.0708130936014617,0.054325853859316896,0.04838359096471925,0.049066979146931144,0.03511353680684991,0.053756365743310476,0.08869639508364098,0.07656345514192556,0.04836797380750068,0.047253100699745115,0.09888385606432952,0.03699795368018869,0.09803947465059659,0.061612491061134894,0.07245097738814851,0.030107929952442644
18,0.00367948887093612,0.027721055027183576,0.052299410506426905,0.040416313250187734,0.0490923890864651,0.041884275396356904,0.02872943836810007,0.036088130635209346,0.0665963244100955,0.08309466931757441,0.030227652909874437,0.043433280887004565,0.056038652002190534,0.03167281617534655,0.06380553602147844,0.045352101998054395,0.04618243826852022,0.016949576979697047
19,0.06806878047063954,0.08092058797915039,0.11977064079310124,0.09592959479712106,0.11318221569244633,0.0925295283313996,0.10049155403359324,0.1025202344910552,0.1388652880111088,0.14177722288357716,0.10674003422694901,0.12533170277376976,0.13913735510222613,0.08714893890731036,0.11047091578568018,0.09972687339161831,0.10928603957376125,0.0771504259093975
20,0.10711031404013428,0.15081729847913566,0.16517274293906914,0.195838497773395,0.1763896529828101,0.14614257160894342,0.16481778009068032,0.14685622901562595,0.21112168723220623,0.22919617422794306,0.1397949270494282,0.14709393884117405,0.22740346589808655,0.15882131914049383,0.19088730252937722,0.1822904293794805,0.16901582775947951,0.18454449878850332
21,0.06712811465064694,0.10758614954795728,0.10896989706999743,0.12379931270404872,0.10631215274874316,0.11388573326083135,0.11300808774499457,0.09712570072741561,0.13011774130600198,0.15221840218206245,0.1039707107034822,0.11713290442340082,0.16068342591977366,0.11281507923391959,0.11001124730395763,0.11525092472461983,0.11285035592317577,0.11505053133207067
22,0.043782749461630986,0.060480312295646106,0.05990276202796182,0.053854739358493435,0.05602926921373971,0.07992145754280498,0.07988717253214661,0.06421547655435278,0.049324766899303846,0.09335371945363782,0.05434886182285841,0.09811672904777034,0.09207504678765933,0.059282966333130994,0.07285745330682643,0.05416972527839241,0.07277358622290193,0.07248745044072472
23,0.08582722380136447,0.16831039446590393,0.14890370928845365,0.15049252414385178,0.13051637624339976,0.1782361801223208,0.1855949815403922,0.14485261513479056,0.13501365251528724,0.21812914587681495,0.11848452570599814,0.17955881050974135,0.22010227473825214,0.14345564904995253,0.15853461712226272,0.14363022391622257,0.16747767138108613,0.1633331628454228
