"node","value","units"
"AFG_1",0.234632260531885,"Mha"
"AFG_2",0.818540524844418,"Mha"
"CHN_1",0.000101082531831307,"Mha"
"CHN_2",0.000207103079554286,"Mha"
"CHN_3",0.000399343106480409,"Mha"
"IND_1",0.78879651726482,"Mha"
"IND_2",0.735577913897313,"Mha"
"IND_3",0.78577123012421,"Mha"
"IND_4",3.69299489107949,"Mha"
"IND_5",0.00191385586322818,"Mha"
"IND_6",0.0181855528827866,"Mha"
"PAK_1",1.85034084371936,"Mha"
"PAK_10",2.93372342878898,"Mha"
"PAK_11",0.00735322869970455,"Mha"
"PAK_12",4.01466093885539,"Mha"
"PAK_13",0.00909842276799841,"Mha"
"PAK_2",1.50028568176923,"Mha"
"PAK_3",1.82346565673604,"Mha"
"PAK_4",0.334556780628631,"Mha"
"PAK_5",1.17038152376709,"Mha"
"PAK_6",1.23259051589616,"Mha"
"PAK_7",1.30866033924223,"Mha"
"PAK_8",0.806560555026675,"Mha"
"PAK_9",2.29463560254008,"Mha"
