crop,irrigation,region,fertilizer,unit,value,min,max,source
sugarcane,irrigated,PAK|Punjab,N,kg/ha,195,120,270,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
sugarcane,irrigated,PAK|Punjab,P2O5,kg/ha,85,60,110,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
sugarcane,irrigated,PAK|Punjab,K2O,kg/ha,90,60,120,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
sugarcane,irrigated,PAK|Sind,N,kg/ha,250,200,300,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
sugarcane,irrigated,PAK|Sind,P2O5,kg/ha,112.5,100,125,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
sugarcane,irrigated,PAK|Sind,K2O,kg/ha,135,100,170,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
sugarcane,irrigated,PAK|NWFP,N,kg/ha,147.5,120,175,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
sugarcane,irrigated,PAK|NWFP,P2O5,kg/ha,100,100,100,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
sugarcane,irrigated,PAK|NWFP,K2O,kg/ha,100,100,100,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
maize,irrigated,PAK|Punjab,N,kg/ha,75,60,90,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
maize,irrigated,PAK|Punjab,P2O5,kg/ha,60,60,60,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
maize,irrigated,PAK|Punjab,K2O,kg/ha,0,0,0,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
maize,irrigated,PAK|NWFP,N,kg/ha,105,90,120,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
maize,irrigated,PAK|NWFP,P2O5,kg/ha,75,60,90,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
maize,irrigated,PAK|NWFP,K2O,kg/ha,45,30,60,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
pulses,irrigated,PAK|Punjab,N,kg/ha,25,20,30,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
pulses,irrigated,PAK|Punjab,P2O5,kg/ha,75,60,90,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
pulses,irrigated,PAK|Punjab,K2O,kg/ha,0,0,0,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
pulses,irrigated,PAK|Sind,N,kg/ha,105,90,120,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
pulses,irrigated,PAK|Sind,P2O5,kg/ha,60,60,60,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
pulses,irrigated,PAK|Sind,K2O,kg/ha,0,0,0,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
pulses,irrigated,PAK|NWFP,N,kg/ha,37.5,25,50,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
pulses,irrigated,PAK|NWFP,P2O5,kg/ha,80,80,80,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
pulses,irrigated,PAK|NWFP,K2O,kg/ha,0,0,0,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
fodder,irrigated,PAK|Punjab,N,kg/ha,25,20,30,assumed
fodder,irrigated,PAK|Punjab,P2O5,kg/ha,75,60,90,assumed
fodder,irrigated,PAK|Punjab,K2O,kg/ha,0,0,0,assumed
fodder,irrigated,PAK|Sind,N,kg/ha,105,90,120,assumed
fodder,irrigated,PAK|Sind,P2O5,kg/ha,60,60,60,assumed
fodder,irrigated,PAK|Sind,K2O,kg/ha,0,0,0,assumed
fodder,irrigated,PAK|NWFP,N,kg/ha,37.5,25,50,assumed
fodder,irrigated,PAK|NWFP,P2O5,kg/ha,80,80,80,assumed
fodder,irrigated,PAK|NWFP,K2O,kg/ha,0,0,0,assumed
fruit,irrigated,PAK|Punjab,N,kg/ha,825,150,1500,http://www.fao.org/docrep/007/y5460e/y5460e08.htm#TopOfPage
fruit,irrigated,PAK|Punjab,P2O5,kg/ha,275,50,500,
fruit,irrigated,PAK|Punjab,K2O,kg/ha,275,50,500,
fruit,irrigated,PAK|Sind,N,kg/ha,825,150,1500,
fruit,irrigated,PAK|Sind,P2O5,kg/ha,275,50,500,
fruit,irrigated,PAK|Sind,K2O,kg/ha,275,50,500,
fruit,irrigated,PAK|NWFP,N,kg/ha,825,150,1500,
fruit,irrigated,PAK|NWFP,P2O5,kg/ha,275,50,500,
fruit,irrigated,PAK|NWFP,K2O,kg/ha,275,50,500,
vegetables,irrigated,PAK|Punjab,N,kg/ha,150,150,150,assumed as fruit first year
vegetables,irrigated,PAK|Punjab,P2O5,kg/ha,50,50,50,assumed
vegetables,irrigated,PAK|Punjab,K2O,kg/ha,50,50,50,assumed
vegetables,irrigated,PAK|Sind,N,kg/ha,150,150,150,assumed
vegetables,irrigated,PAK|Sind,P2O5,kg/ha,50,50,50,assumed
vegetables,irrigated,PAK|Sind,K2O,kg/ha,50,50,50,assumed
vegetables,irrigated,PAK|NWFP,N,kg/ha,150,150,150,assumed
vegetables,irrigated,PAK|NWFP,P2O5,kg/ha,50,50,50,assumed
vegetables,irrigated,PAK|NWFP,K2O,kg/ha,50,50,50,assumed
wheat,irrigated,IND,N,kg/ha,106,115,115,http://www.fao.org/docrep/009/a0257e/A0257E05.htm#ch4
wheat,irrigated,IND,P2O5,kg/ha,32,32,32,http://www.fao.org/docrep/009/a0257e/A0257E05.htm#ch5
wheat,irrigated,IND,K2O,kg/ha,7,7,7,http://www.fao.org/docrep/009/a0257e/A0257E05.htm#ch6
wheat,rainfed,IND,N,kg/ha,56,56,56,http://www.fao.org/docrep/009/a0257e/A0257E05.htm#ch4
wheat,rainfed,IND,P2O5,kg/ha,16,16,16,http://www.fao.org/docrep/009/a0257e/A0257E05.htm#ch5
wheat,rainfed,IND,K2O,kg/ha,4,4,4,http://www.fao.org/docrep/009/a0257e/A0257E05.htm#ch6
rice,irrigated,IND,N,kg/ha,103,103,103,http://www.fao.org/docrep/009/a0257e/A0257E05.htm#ch4
rice,irrigated,IND,P2O5,kg/ha,33,33,33,http://www.fao.org/docrep/009/a0257e/A0257E05.htm#ch5
rice,irrigated,IND,K2O,kg/ha,19,19,19,http://www.fao.org/docrep/009/a0257e/A0257E05.htm#ch6
rice,rainfed,IND,N,kg/ha,57,57,57,http://www.fao.org/docrep/009/a0257e/A0257E05.htm#ch4
rice,rainfed,IND,P2O5,kg/ha,15,15,15,http://www.fao.org/docrep/009/a0257e/A0257E05.htm#ch5
rice,rainfed,IND,K2O,kg/ha,7,7,7,http://www.fao.org/docrep/009/a0257e/A0257E05.htm#ch6
cotton,irrigated,IND,N,kg/ha,116,116,116,http://www.fao.org/docrep/009/a0257e/A0257E05.htm#ch4
cotton,irrigated,IND,P2O5,kg/ha,31,31,31,http://www.fao.org/docrep/009/a0257e/A0257E05.htm#ch5
cotton,irrigated,IND,K2O,kg/ha,7,7,7,http://www.fao.org/docrep/009/a0257e/A0257E05.htm#ch6
cotton,rainfed,IND,N,kg/ha,76,76,76,http://www.fao.org/docrep/009/a0257e/A0257E05.htm#ch4
cotton,rainfed,IND,P2O5,kg/ha,18,18,18,http://www.fao.org/docrep/009/a0257e/A0257E05.htm#ch5
cotton,rainfed,IND,K2O,kg/ha,4,4,4,http://www.fao.org/docrep/009/a0257e/A0257E05.htm#ch6
pulses,irrigated,IND,N,kg/ha,62,62,62,http://www.fao.org/docrep/009/a0257e/A0257E05.htm#ch4
pulses,irrigated,IND,P2O5,kg/ha,14,14,14,http://www.fao.org/docrep/009/a0257e/A0257E05.htm#ch5
pulses,irrigated,IND,K2O,kg/ha,3,3,3,http://www.fao.org/docrep/009/a0257e/A0257E05.htm#ch6
pulses,rainfed,IND,N,kg/ha,18,18,18,http://www.fao.org/docrep/009/a0257e/A0257E05.htm#ch4
pulses,rainfed,IND,P2O5,kg/ha,5,5,5,http://www.fao.org/docrep/009/a0257e/A0257E05.htm#ch5
pulses,rainfed,IND,K2O,kg/ha,1,1,1,http://www.fao.org/docrep/009/a0257e/A0257E05.htm#ch6
fodder,irrigated,IND,N,kg/ha,59,59,59,http://www.fao.org/docrep/009/a0257e/A0257E05.htm#ch6
fodder,irrigated,IND,P2O5,kg/ha,30,30,30,assumed as sorghum
fodder,irrigated,IND,K2O,kg/ha,11,11,11,assumed
fodder,rainfed,IND,N,kg/ha,27,27,27,assumed
fodder,rainfed,IND,P2O5,kg/ha,13,13,13,assumed
fodder,rainfed,IND,K2O,kg/ha,4,4,4,assumed
fruit,irrigated,IND,N,kg/ha,825,150,1500,assumed as pakistan
fruit,irrigated,IND,P2O5,kg/ha,275,50,500,assumed
fruit,irrigated,IND,K2O,kg/ha,275,50,500,assumed
vegetables,irrigated,IND,N,kg/ha,150,150,150,assumed as pakistan
vegetables,irrigated,IND,P2O5,kg/ha,50,50,50,assumed
vegetables,irrigated,IND,K2O,kg/ha,50,50,50,assumed
vegetables,rainfed,IND,N,kg/ha,50,50,50,assumed lower
vegetables,rainfed,IND,P2O5,kg/ha,20,20,20,assumed
vegetables,rainfed,IND,K2O,kg/ha,15,15,15,assumed
