"scenario","model","node","time","tec","value"
"historical","ensemble","IND_5","11","irrigation_sw_diversion",0
"historical","ensemble","IND_5","12","irrigation_sw_diversion",0
"historical","ensemble","IND_5","2","irrigation_sw_diversion",0
"historical","ensemble","IND_5","3","irrigation_sw_diversion",0
"historical","ensemble","IND_5","4","irrigation_sw_diversion",0
"historical","ensemble","IND_5","5","irrigation_sw_diversion",0
"historical","ensemble","IND_5","6","irrigation_sw_diversion",0
"historical","ensemble","IND_5","7","irrigation_sw_diversion",0
"historical","ensemble","IND_5","8","irrigation_sw_diversion",0
"historical","ensemble","IND_5","9","irrigation_sw_diversion",0
"historical","ensemble","IND_6","1","irrigation_sw_diversion",0
"historical","ensemble","IND_6","10","irrigation_sw_diversion",0
"historical","ensemble","IND_6","11","irrigation_sw_diversion",0
"historical","ensemble","IND_6","12","irrigation_sw_diversion",0
"historical","ensemble","IND_6","2","irrigation_sw_diversion",0
"historical","ensemble","IND_6","3","irrigation_sw_diversion",0
"historical","ensemble","IND_6","4","irrigation_sw_diversion",0
"historical","ensemble","IND_6","5","irrigation_sw_diversion",0
"historical","ensemble","IND_6","6","irrigation_sw_diversion",0
"historical","ensemble","IND_6","7","irrigation_sw_diversion",0
"historical","ensemble","IND_6","8","irrigation_sw_diversion",0
"historical","ensemble","IND_6","9","irrigation_sw_diversion",0
"historical","ensemble","PAK_1","1","irrigation_sw_diversion",3.74423477415652
"historical","ensemble","PAK_1","10","irrigation_sw_diversion",3.32143104059592
"historical","ensemble","PAK_1","11","irrigation_sw_diversion",2.49002891415759
"historical","ensemble","PAK_1","12","irrigation_sw_diversion",1.71581300521917
"historical","ensemble","PAK_1","2","irrigation_sw_diversion",6.16386121558598
"historical","ensemble","PAK_1","3","irrigation_sw_diversion",10.2273711646185
"historical","ensemble","PAK_1","4","irrigation_sw_diversion",10.6572560325167
"historical","ensemble","PAK_1","5","irrigation_sw_diversion",10.112624329234
"historical","ensemble","PAK_1","6","irrigation_sw_diversion",9.83697787632595
"historical","ensemble","PAK_1","7","irrigation_sw_diversion",10.1426078945465
"historical","ensemble","PAK_1","8","irrigation_sw_diversion",9.01512223130423
"historical","ensemble","PAK_1","9","irrigation_sw_diversion",6.68709821173886
"historical","ensemble","PAK_10","1","irrigation_sw_diversion",33.2768723049013
"historical","ensemble","PAK_10","10","irrigation_sw_diversion",25.0634141930941
"historical","ensemble","PAK_10","11","irrigation_sw_diversion",19.5353411716845
"historical","ensemble","PAK_10","12","irrigation_sw_diversion",15.1381099082345
"historical","ensemble","PAK_10","2","irrigation_sw_diversion",60.25276244318
"historical","ensemble","PAK_10","3","irrigation_sw_diversion",76.1513675403913
"historical","ensemble","PAK_10","4","irrigation_sw_diversion",67.4169551612302
"historical","ensemble","PAK_10","5","irrigation_sw_diversion",58.7811622986179
"historical","ensemble","PAK_10","6","irrigation_sw_diversion",66.1853451490584
"historical","ensemble","PAK_10","7","irrigation_sw_diversion",81.2049353333686
"historical","ensemble","PAK_10","8","irrigation_sw_diversion",78.4742499848611
"historical","ensemble","PAK_10","9","irrigation_sw_diversion",53.8674529856314
"historical","ensemble","PAK_11","1","irrigation_sw_diversion",0
"historical","ensemble","PAK_11","10","irrigation_sw_diversion",0
"historical","ensemble","PAK_11","11","irrigation_sw_diversion",0
"historical","ensemble","PAK_11","12","irrigation_sw_diversion",0
"historical","ensemble","PAK_11","2","irrigation_sw_diversion",0
"historical","ensemble","PAK_11","3","irrigation_sw_diversion",0
